trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
488,False,"{'a': 0.1, 'e': 0.020161105519614763}",25,14,22.289805186577006,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
489,False,"{'a': 0.1, 'e': 0.020000460113855464}",20,9,19.10693434110481,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
490,False,"{'a': 0.1, 'e': 0.01984109474437029}",20,12,3.0047971821401678,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,11,28.54590862834915,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,10,26.08748899858914,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,0,45.80619898522735,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",30,22,16.518557906822373,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,19,8.915346327807677,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,20,7.773887833745719,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,10,25.588570409789956,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",30,16,26.246651468286256,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,13,20.590329605237788,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,8,44.59060870456906,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",25,11,25.96554169099157,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",20,10,17.373436864284866,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",20,8,19.250524219658963,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",25,17,16.212714809010606,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",25,9,30.49640954516061,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",20,13,13.386264405878531,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",25,8,30.039509099530292,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",30,14,31.70598678634123,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",25,13,19.394167474589295,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",25,11,21.76296993659318,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,True,"{'a': 0, 'e': 0}",25,13,21.553143989575958,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,True,"{'a': 0, 'e': 0}",25,15,16.95359323371002,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,True,"{'a': 0, 'e': 0}",20,0,31.40482614064652,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,True,"{'a': 0, 'e': 0}",20,9,14.32816547940332,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,True,"{'a': 0, 'e': 0}",30,21,20.805866090866775,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,True,"{'a': 0, 'e': 0}",20,11,19.306532990562474,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,True,"{'a': 0, 'e': 0}",30,16,24.0810811673086,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,True,"{'a': 0, 'e': 0}",20,6,24.796327753882835,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,True,"{'a': 0, 'e': 0}",25,13,21.772337787698298,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,True,"{'a': 0, 'e': 0}",25,16,14.939724135344939,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,True,"{'a': 0, 'e': 0}",30,10,38.76863001308188,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
